1;Barcelona
2;Girona
3;Lleida
4;Tarragona
5;Madrid
6;Málaga
7;Mallorca
8;Ibiza - Formentera
9;Gran Canaria
10;Navarra
11;Albacete
12;Alicante
13;Almería
14;Asturias
15;Badajoz
16;Burgos
17;Cáceres
18;Cádiz
19;Cantabria
20;Castellón
21;Ceuta y Melilla
22;Ciudad Real
23;Córdoba
24;Cuenca
25;Granada
26;Guadalajara
27;Guipúzcoa
28;Huelva
29;Huesca
30;Jaén
31;La Coruña
32;La Rioja
33;Lanzarote
34;León
35;Lugo
36;Menorca
37;Murcia
38;Ourense
39;Palencia
40;Pontevedra
41;Salamanca
42;Segovia
43;Sevilla
44;Soria
45;Tenerife
46;Teruel
47;Toledo
48;Valencia
49;Valladolid
50;Vizcaya
51;Zamora
52;Zaragoza
53;Álava
54;Ávila
55;Andorra
56;Fuerteventura
58;Hierro (El)
59;Gomera (La)
60;Palma (La)
